cat,common household pet
dog,runs with the wind
mountain,soaring peaks and rocky terrain
ocean,vast expanse of saltwater
guitar,stringed musical instrument
tree,tall woody plant with branches
book,contains written or printed pages
computer,electronic device for processing data
rainbow,colorful arc in the sky
coffee,caffeinated beverage made from beans
spaceship,vehicle for space travel
adventure,exciting and daring experience
butterfly,colorful insect with wings
telescope,device for viewing distant objects
moon,natural satellite of the Earth
chocolate,sweet confection made from cacao
bicycle,two-wheeled human-powered vehicle
elephant,largest land mammal
galaxy,vast system of stars and planets
friendship,bond between individuals
sun,central star of the solar system
beach,sandy shore along a body of water
music,art form consisting of sounds
dragon,mythical fire-breathing creature
pizza,Italian dish with a flat crust
flower,colorful bloom of a plant
adventure,exciting and daring experience
rainbow,colorful arc in the sky
laughter,expression of joy or amusement
dragonfly,insect with transparent wings
camera,device for capturing images
kindness,quality of being friendly and generous
universe,all of space, time, matter, and energy
painting,art form using brushes and colors
planet,a celestial body orbiting a star
waterfall,flowing water descending from a height
friendship,bond between individuals
courage,ability to confront fear or adversity
cupcake,sweet baked dessert
happiness,state of being joyful
compass,navigational instrument indicating direction
adventure,exciting and daring experience
smile,expression of happiness
snowflake,ice crystal falling as precipitation
soccer,sport played with a ball on a field
dragon,mythical fire-breathing creature
guitar,stringed musical instrument
island,land surrounded by water
chocolate,sweet confection made from cacao
sunrise,first appearance of the sun in the morning
family,group of related individuals
panda,black and white bear native to China
raindrop,individual drop of rain
piano,musical instrument with keys
starlight,light emitted by stars
adventure,exciting and daring experience
firework,explosive display of light and color
pizza,Italian dish with a flat crust
ocean,vast expanse of saltwater
wall,protective barrier
disappear,vanish without a trace
size,dimensions or extent
defective,flawed or faulty
sticks,thin branches or twigs
tacit,unspoken but understood
soggy,soaked and wet
long,extended length
satisfy,fulfill or meet expectations
rings,circular bands or loops
mean,average value
squalid,dirty and unpleasant
creepy,causing a feeling of unease
flaky,having flakes or layers
gifted,possessing natural talent
milk,white liquid from mammals
tickle,gently touch to cause laughter
depressed,feeling of sadness
imported,brought in from another place
achiever,one who attains success
buzz,continuous humming sound
hushed,quiet and subdued
happy,feeling of joy
undress,remove clothing
alike,similar in appearance
jolly,cheerful and festive
texture,feel or consistency
silver,shiny metallic color
adamant,unyielding and firm
applaud,show approval through clapping
productive,efficacious and fruitful
employ,hire for work
